code,name,EBITDA마진율(%),차입금의존도(%),차입금/EBITDA(TTM)(배),현금흐름(TTM)/차입금(%),금융비용(천원),자본총계(천원),이자발생부채(천원),C>=5,D<=50,E<=10,F>=10,G/H<=0.75,score,internal_rating,ag3_reason
02484,KBI메탈,8.17,40.48,4.06,10.77,23756772.84,149585709.99,159459749.35,1,1,1,1,1,0,AG2,
02485,HLB이노베이션,-104.11,8.98,-0.68,-102.62,550731.92,234416277.91,24455257.73,0,1,1,0,1,2,AG2,
02488,케이피에프,6.34,33.16,5.01,13.23,5070940.47,327506187.53,225125821.02,1,1,1,1,1,0,AG2,
02489,대원화성,3.83,49.02,20.94,8.62,1174939.32,45838747.57,76107740.72,0,1,0,0,1,3,AG3,score
02490,디와이덕양,1.46,11.04,4.18,23.71,1011369.31,117851442.07,68917305.95,0,1,1,1,1,1,AG2,
02491,경창산업,6.05,45.84,6.35,3.47,2982933.51,123509031.51,228481420.58,1,1,1,0,1,1,AG2,
02494,PN풍년,5.17,0,,3842767.32,14610.73,52319737.69,,1,1,,1,1,,AG3,재무정보 미제공
02495,삼천리자전거,7.58,11.5,1.94,45.62,564185.02,174935348.98,33785580.41,1,1,1,1,1,0,AG2,
02500,KPX케미칼,6.16,11.43,1.81,90.02,7592347.92,669603048.17,102348028.37,1,1,1,1,1,0,AG2,
02532,시노펙스,9.68,19.16,2.96,49.79,384769.07,178772505.7,51576409.5,1,1,1,1,1,0,AG2,
02544,DH오토웨어,3.9,52.37,21.5,-5.89,5734322.15,63981830.61,194407357.9,0,0,0,0,1,4,AG3,score
02553,SJM홀딩스,9.79,5.78,1.29,104.73,428669.1,323769582.08,22966948.66,1,1,1,1,1,0,AG2,
02554,한국단자,13.86,4.96,0.38,173.12,661261,1186734745,82405171,1,1,1,1,1,0,AG2,
02555,한국선재,13.71,40.82,7.64,2.89,19143943.41,175287166.43,150790379.94,1,1,1,0,1,1,AG2,
02556,미래산업,24.89,7.28,0.82,105.87,259889.68,128551061.4,12180876.57,1,1,1,1,1,0,AG2,
02562,차AI헬스케어,-109.82,26.5,-4.03,-0.54,4074178.76,70709706.94,28660073.82,0,1,1,0,1,2,AG2,
02575,한솔홈데코,7.08,35.47,6.37,-10.83,1014983.35,100291683.98,81688510.19,1,1,1,0,1,1,AG2,
02577,한국정보통신,6.67,2.02,0.19,392.38,227485,331866190,11556271,1,1,1,1,1,0,AG2,
02582,이구산업,14.96,40.81,4.17,16.92,6099117.41,157203646.62,181752950.58,1,1,1,1,1,0,AG2,
02586,남해화학,1.55,24.4,1.28,52.3,9096335.33,545798675.31,220741175,0,1,1,1,1,1,AG2,
02587,신라에스지,-3.29,49.7,-251.4,-6.17,245148.87,13854512.59,23314848.46,0,1,1,0,1,2,AG2,
02588,케이씨피드,8.44,22.33,1.66,59.65,194408.16,80856675.58,26367549.53,1,1,1,1,1,0,AG2,
02589,한국주강,3.35,9.5,5.11,19.93,31016.88,33956402.9,4056301.23,0,1,1,1,1,1,AG2,
02590,동화기업,4.57,45.26,24.86,1.97,13892621.72,885071537.14,1051951980.31,0,1,0,0,1,3,AG3,score
02595,동신건설,-3.19,0.68,-1,274.18,1643.82,97088875.92,743713.74,0,1,1,1,1,1,AG2,
02598,아난티,-1.36,39.65,16.42,-2.19,11734877.42,739139684.04,623204259.58,0,1,0,0,1,3,AG3,score
02604,제이에스티나,-0.26,0.96,0.35,309.52,20268.72,45969001.17,554056.88,0,1,1,1,1,1,AG2,
02615,특수건설,9.2,23.02,-2.22,-53.16,777703.84,89542842.38,47269215,1,1,1,0,1,1,AG2,
02689,스틱인베스트먼트,31.14,13.2,1.36,125.89,70520.62,258411563.03,40939542.07,1,1,1,1,1,0,AG2,
02691,광진실업,3.16,73.85,-927.01,-1.86,736807.05,19043236.91,70499465.85,0,0,1,0,1,3,AG3,score
02694,부국철강,0.99,0,,,249,130556039.58,,0,1,,,1,,AG3,재무정보 미제공
02696,동서,8.4,0.29,0.11,3722.43,29594.63,1694821764.35,5116219.49,1,1,1,1,1,0,AG2,
02704,서울전자통신,-7.64,32.8,-11.36,-2.78,238432.62,9113970.58,11386856.1,0,1,1,0,1,2,AG2,
02705,코리아나,0.54,1.58,-1.18,-123.9,14747.09,84662165.5,1602959.98,0,1,1,0,1,2,AG2,
02736,아주IB투자,43.02,4.79,0.75,79.81,,268933014.03,16000000,1,1,1,1,,,AG3,재무정보 미제공
02741,BGF,15.56,9.87,2.52,50.35,2672265.07,2020454064.01,238675395.44,1,1,1,1,1,0,AG2,
02758,상보,-34.21,37.5,-3.97,-31.98,349127.04,40614449.58,34077242.65,0,1,1,0,1,2,AG2,
02771,팜스토리,3.5,48.32,8.57,7.67,16866349.67,328711649.24,457697904.95,0,1,1,0,1,2,AG2,
02774,마니커,-1.08,35.64,5.14,15.23,670517.51,37886538.43,55162148,0,1,1,1,1,1,AG2,
02783,대성창투,-20.53,0,,,1486.19,99323181.77,,0,1,,,1,,AG3,재무정보 미제공
02797,한국제지,2.9,27.72,12.96,-13,1805439.63,358677014.8,195452195.85,0,1,0,0,1,3,AG3,score
02805,삼성E&A,9.27,0.18,0.02,3545.63,27575414.78,4513840979.71,18066650,1,1,1,1,1,0,AG2,
02808,휴맥스홀딩스,4.99,22.86,-10.96,-13.58,9784219.05,126470294.4,112910016.37,0,1,1,0,1,2,AG2,
02810,동아지질,8.94,12.75,1.46,68.78,457847.67,225870922.64,58484295.81,1,1,1,1,1,0,AG2,
02826,삼성물산,9.55,4.63,1.11,115.42,58439494.79,70115822408.35,4864112076.46,1,1,1,1,1,0,AG2,
02830,HLB,-114.85,29.13,-2.9,-94.05,21109521.12,493870723.14,269540526.7,0,1,1,0,1,2,AG2,
02867,팬오션,9.34,41.4,4.64,18.16,81982000,6059356000,4831232000,1,1,1,1,1,0,AG2,
02946,케이씨,9.83,3.43,0.71,188.79,694162.48,1037522318.13,43579625,1,1,1,1,1,0,AG2,
02948,광무,-75.3,0.91,-0.57,267.87,27615002.59,229987954.09,2271189.82,0,1,1,1,1,1,AG2,
02953,신도리코,8.58,0.67,0.35,410.45,3573159.78,1083148909.65,7790997.82,1,1,1,1,1,0,AG2,
02978,삼성카드,17.15,64.47,25.4,3.87,,8753945000,21825216000,1,0,0,0,,,AG3,재무정보 미제공
03000,제일기획,5.85,13.38,0.69,131.24,14094712.78,1539643671.89,459288524.26,1,1,1,1,1,0,AG2,
03019,NICE평가정보,23.62,6.18,0.28,258.33,265926.69,465437402.53,39661801,1,1,1,1,1,0,AG2,
03020,KT,21.49,30.44,1.91,48.55,281038000,19993556000,13243944000,1,1,1,1,1,0,AG2,
03021,다올투자증권,1.76,15.76,30.76,4.25,,807372279.85,1662880000,0,1,0,0,,,AG3,재무정보 미제공
03035,드래곤플라이,-15.59,24.25,-2.19,-148.4,48096.25,5061246.67,3413053.09,0,1,1,0,1,2,AG2,
03052,한글과컴퓨터,22.04,9.93,1.23,74.79,1208864.1,491017739.17,72018205.32,1,1,1,1,1,0,AG2,
03053,원익홀딩스,8.17,24.33,13.33,18.55,6261984,1305623563.69,493566611.72,1,1,0,1,1,1,AG2,
03061,교보증권,4.12,16.04,13.83,6.49,,2162109360,3173410919,0,1,0,0,,,AG3,재무정보 미제공
03072,동원수산,9.97,38.08,4.79,21.72,1358593.48,60999762.86,55425158.14,1,1,1,1,1,0,AG2,
03096,양지사,22.18,8.3,78.94,26.04,132793.87,190756659.77,17930000,1,1,0,1,1,1,AG2,
03121,서울보증보험,13.3,0.41,0.08,960.08,,4985093395.88,38593412,1,1,1,1,,,AG3,재무정보 미제공
03131,아이즈비전,2.39,20.7,7.5,33.24,1953391.57,206630386.35,63678470.51,0,1,1,1,1,1,AG2,
03133,에스에이엠티,18.27,38.61,2.06,50.51,7651780.44,722446984.5,873820652.8,1,1,1,1,1,0,AG2,
03143,신세계인터내셔날,9.65,24.88,5.53,22.06,12020631.42,841492255.03,329810078.72,1,1,1,1,1,0,AG2,
03144,신세계푸드,4.46,35.94,5.12,38.2,3214156.34,358702110.21,289080237.06,0,1,1,1,1,1,AG2,
03151,오스템,10.2,25.58,2.85,45.82,383003.16,76299458.38,36543223.74,1,1,1,1,1,0,AG2,
03182,아이티센씨티에스,1.4,13.99,2.42,143.56,1737949.52,377768227.78,108708334,0,1,1,1,1,1,AG2,
03186,디에이치엑스컴퍼니,-52.7,30.66,-2,-306.07,99086.23,18352654.11,13274228.61,0,1,1,0,1,2,AG2,
03198,피에스케이홀딩스,39.04,2.17,0.17,706.18,5150053.22,510154972.31,13387051.26,1,1,1,1,1,0,AG2,
03208,아즈텍WB,-16.51,6.42,-42.26,13.46,755451.28,108260037.36,7675073.72,0,1,1,1,1,1,AG2,
03219,다우데이타,7,36.71,17.71,4.98,9366227.89,8036342597,35436941523.39,1,1,0,0,1,2,AG2,
03228,삼일,5.05,26.56,5.33,15.12,244888.04,64551905.42,27937227,1,1,1,1,1,0,AG2,
03230,한국파마,8.41,30.6,14.65,2.02,1003617.65,68934059.38,39771587,1,1,0,0,1,2,AG2,
03235,롯데관광개발,32.51,60.89,5.29,10.11,35408237.75,358473724.92,1309903342.99,1,0,1,1,1,1,AG2,
03250,케이엠더블유,-16.59,26.85,-4.94,-24.85,4569449.32,139328801.5,66255432.32,0,1,1,0,1,2,AG2,
03254,TJ미디어,0.69,20.22,5.19,27.04,228281.05,79692438.93,26110026.56,0,1,1,1,1,1,AG2,
03256,황금에스티,12.83,9.35,1.7,85.23,4891203.73,441612524.37,53261649.72,1,1,1,1,1,0,AG2,
03258,피델릭스,21.78,12.13,2.02,69.74,28229.76,50054836.66,8657428.49,1,1,1,1,1,0,AG2,
03262,GC메디아이,8.9,14.73,1.9,179.08,492816.91,159992436.91,34355835.75,1,1,1,1,1,0,AG2,
03264,LG유플러스,25.21,29.4,1.6,53.73,67542000,9050708000,5787159000,1,1,1,1,1,0,AG2,
03268,소프트센,2.8,15.53,15.17,2.4,496054.48,69755637.59,14543451.57,0,1,0,0,1,3,AG3,score
03275,삼진,7.1,0,,,214.69,113129153.01,,1,1,,,1,,AG3,재무정보 미제공
03279,엠젠솔루션,-66.37,28.53,-1.95,-92.98,551139.88,28719112.23,15865543.54,0,1,1,0,1,2,AG2,
03280,판타지오,-18.58,17.71,-3.29,-54.25,619754.38,44209305.76,16572211,0,1,1,0,1,2,AG2,
03282,우리기술,-28.32,46.71,-75.22,23.6,3648178.38,162132510.56,187515560.53,0,1,1,1,1,1,AG2,
03283,삼성생명,9.78,6.7,7.11,14.82,,83300997000,24886060000,1,1,1,1,,,AG3,재무정보 미제공
03285,비트컴퓨터,21.61,0.28,0.03,1754.13,3282.27,73654858.7,236284.73,1,1,1,1,1,0,AG2,
03286,더라미,-4.71,1.26,-0.8,-671.42,7478.62,51697081.8,690879.71,0,1,1,0,1,2,AG2,
03294,원익,9.03,14.41,5.01,22.47,738578.74,288513296.52,57005960.95,1,1,1,1,1,0,AG2,
03296,동일기연,14.09,1.01,0.48,1469.23,8582.53,65555432.76,715163.62,1,1,1,1,1,0,AG2,
03298,바이온,-142.51,47.51,-16.88,-11.67,449298.62,16325667.19,24938747.49,0,1,1,0,1,2,AG2,
03305,제이엠아이,9.35,12.49,1.39,93.52,150849.55,60427884.5,13607987.13,1,1,1,1,1,0,AG2,
03310,제룡전기,18.47,6.59,0.31,566.68,611671.23,229734230.13,18326927.65,1,1,1,1,1,0,AG2,
03313,디지틀조선,38.73,8.15,0.58,140.86,77028.56,92864434.74,8817100.25,1,1,1,1,1,0,AG2,
03316,엠케이전자,4.39,49.33,26.54,4.51,20521278.04,1019500847.61,1308030271.69,0,1,0,0,1,3,AG3,score
03317,시그네틱스,-2.57,34.43,-5.06,-19.28,822828.22,50309697.56,39338091.14,0,1,1,0,1,2,AG2,
03320,모아텍,-1.8,0.03,-0.02,-993.74,713.91,68562543.36,25597.37,0,1,1,0,1,2,AG2,
03323,인성정보,-1.8,9.24,209.25,-1.32,408902.26,86329930.72,20617962.3,0,1,0,0,1,3,AG3,score
03324,자화전자,17,26.21,1.67,80.69,7573935.9,505861329.86,223187994.04,1,1,1,1,1,0,AG2,
03325,체시스,10.5,21.2,2.01,50.45,-680157.88,47547380.43,20046982.73,1,1,1,1,1,0,AG2,
03327,유나이티드제약,19.01,2.37,0.23,358.1,1133611.16,459168054.33,13315820.13,1,1,1,1,1,0,AG2,
03329,로젠,6.79,43.22,7.99,12.69,3990430.56,409050697.53,431803432.35,1,1,1,1,1,0,AG2,
03331,엠투엔,6.14,15.22,5.92,13.83,600350.38,144496183.75,29547259.49,1,1,1,1,1,0,AG2,
03332,제이씨현시스템,5.34,3.44,0.67,135.02,1701992.58,122798235.32,5893526.97,1,1,1,1,1,0,AG2,
03334,좋은사람들,-8.12,21.49,-9.81,-58.89,374328.37,55964270.97,19681204.72,0,1,1,0,1,2,AG2,
03350,동성화인텍,13.93,2.06,0.11,506.2,162723.55,264043416.45,10076404.7,1,1,1,1,1,0,AG2,
03353,SJG세종,10.49,22.41,2.12,45.08,3640252.52,575861649.27,324093955.23,1,1,1,1,1,0,AG2,
03354,파라텍,-18.72,27.54,-3.6,-36.53,683727.89,92452872.65,48320841.73,0,1,1,0,1,2,AG2,
03356,블루콤,55.74,8.24,3.77,40.74,153097.9,170002612.38,16455299.07,1,1,1,1,1,0,AG2,
03364,네패스,28.85,47.56,2.26,38.52,3483064.23,247394137.03,335576267.37,1,1,1,1,1,0,AG2,
03378,KT&G,25.98,11.92,1.02,95.98,22018000,9327855000,1751473000,1,1,1,1,1,0,AG2,
03379,피노,8.76,0.67,0.07,23.1,5435850.48,107142133.35,1302847.86,1,1,1,1,1,0,AG2,
03383,티비씨,-1.75,0.18,0.11,3778.5,2899.73,130192474.15,239747,0,1,1,1,1,1,AG2,
03392,무학,12.59,11.1,3.46,64.02,566788.75,600539192.33,82499468.73,1,1,1,1,1,0,AG2,
03402,두산에너빌리티,9.03,24.51,4.92,12.48,646753000,12443616000,7032361000,1,1,1,1,1,0,AG2,
03412,SBS,-4.24,26.33,9.48,9.96,3937989.37,967784559.67,432319403,0,1,1,0,1,2,AG2,
03422,LG디스플레이,20.62,50.54,2.89,28.93,529626000,7773133000,13796439000,1,0,1,1,1,1,AG2,
03423,파라다이스,19.57,31.63,6.22,15.82,17133913.92,2224322091.58,1319196976,1,1,1,1,1,0,AG2,
03431,NICE,11.28,30.58,2.89,26.8,12962423.6,1398554145.02,1167001406.18,1,1,1,1,1,0,AG2,
03459,인천도시가스,3.48,3.37,0.47,208.12,164997.7,239023203.63,18315764.18,0,1,1,1,1,1,AG2,
03473,SK,15.12,33.75,6.13,21.25,4938087000,97037894000,77204796000,1,1,1,1,1,0,AG2,
03481,해성산업,7.17,32.05,5.49,2.23,21881019.47,1243236399.52,853213627,1,1,1,0,1,1,AG2,
03483,한국토지신탁,6.93,37.46,-130.17,4.42,79418.74,1042101186.85,762821098.94,1,1,1,0,1,1,AG2,
03494,조아제약,-3.98,43.72,-8.61,-11,303427.16,21619143.33,27559189.85,0,1,1,0,1,2,AG2,
03495,한국기업평가,23.79,0.61,0.03,2255.29,14305.86,111688251.71,1156532.09,1,1,1,1,1,0,AG2,
03500,HS애드,-12.3,3.05,0.33,253.55,1036965.65,196762621.91,12660943.25,0,1,1,1,1,1,AG2,
03508,그래디언트,2.02,11.89,8.44,16.06,2280241.14,713173274.01,214248287.48,0,1,1,1,1,1,AG2,
03515,백산,11.37,24.75,2.04,35.75,2669355.54,266346424.16,113725758.38,1,1,1,1,1,0,AG2,
03520,프럼파스트,-4.17,0.26,-0.28,1005.66,105569.57,36371616.27,107203.02,0,1,1,1,1,1,AG2,
03525,강원랜드,24.06,1.16,0.17,680.11,12434127.43,3781292711.09,54341816,1,1,1,1,1,0,AG2,
03529,골드앤에스,8.54,15.5,9.25,32.38,82848.89,12184590.22,3944603,1,1,1,1,1,0,AG2,
03542,NAVER,16.72,10.85,1.63,55.88,97586662.49,30930035783.91,4875118702.67,1,1,1,1,1,0,AG2,
03546,기산텔레콤,19.85,24.42,2.74,31.46,252973.56,70370083.76,33844225,1,1,1,1,1,0,AG2,
03560,KG이니시스,6.67,30.83,4.36,16.8,5577976.57,749153515.82,609573170.41,1,1,1,1,1,0,AG2,
03561,솔본,12.12,0.71,0.07,1809.87,1545282.82,320986009.64,2755687.45,1,1,1,1,1,0,AG2,
03562,바른손이앤에이,2.64,34.42,-17.72,-21.15,541708.13,58098690.56,34915143,0,1,1,0,1,2,AG2,
03572,카카오,21.33,10.65,1.83,38.36,43781755.51,15420486660.55,3067317214.63,1,1,1,1,1,0,AG2,
03576,CJ ENM,29.98,30.84,1.78,54.8,57455351.16,3433876148.32,2636183911.92,1,1,1,1,1,0,AG2,
03581,이지홀딩스,6.75,40.02,4.42,14.89,33762835.43,1146929857.13,1174733138.23,1,1,1,1,1,0,AG2,
03589,서희건설,7.21,8.17,1.14,112.48,13766962.34,1088606211.62,134521242.55,1,1,1,1,1,0,AG2,
03590,JYP Ent.,20.88,1.03,0.05,1545.9,1144529.28,630310743.12,9028178,1,1,1,1,1,0,AG2,
03600,예림당,10.87,0.29,-2.15,31881.12,3085946.56,254958935.52,810817.68,1,1,1,1,1,0,AG2,
03601,아비코전자,9.94,7.61,0.74,143.92,1139097.34,119609296.53,11768152.54,1,1,1,1,1,0,AG2,
03603,케이티알파,16.18,0.54,0.05,1543.65,36663.18,299755466.02,2547260.98,1,1,1,1,1,0,AG2,
03609,위지트,5.46,27.04,5.59,17.72,4782915.6,408670589.76,189940920.5,1,1,1,1,1,0,AG2,
03612,서울평가정보,7.42,1.44,0.07,1413.94,4130.48,32147137.24,572707.57,1,1,1,1,1,0,AG2,
03617,에이치엠넥스,10.2,13.93,7.24,,1357268.08,137752659.61,23201865.18,1,1,1,,1,,AG3,재무정보 미제공
03619,금화피에스시,3.34,4.83,0.5,128.58,240220.72,378676417.32,22684454.28,0,1,1,1,1,1,AG2,
03620,유니셈,7.9,2.83,0.58,194.95,673956.38,247328584.33,8303073.35,1,1,1,1,1,0,AG2,
03622,오상헬스케어,-9.7,14.21,24.25,9.28,3112469.78,281659922.59,48566352.11,0,1,0,0,1,3,AG3,score
03642,콘텐트리중앙,25.62,54.77,5.08,11.74,24006397.75,216461397.74,1328934477.44,1,0,1,1,1,1,AG2,
03646,한국가스공사,11.7,68.34,8.96,5.99,1094082000,11364946000,36653081000,1,0,1,0,1,2,AG2,
03648,대성미생물,2.23,34.55,6.47,15.86,194217.87,34928050.58,19811967.04,0,1,1,1,1,1,AG2,
03653,SNT홀딩스,15.99,4.59,0.44,333.93,27881435.42,2492290114.19,156708057,1,1,1,1,1,0,AG2,
03654,SFA반도체,3.3,6.76,2.04,40.21,621128.69,482209094.94,38653165.95,0,1,1,1,1,1,AG2,
03656,KZ정밀,11.35,4.04,2.42,56.61,548872.41,616824859.55,32132963,1,1,1,1,1,0,AG2,
03658,팜스코,4.93,63.1,6.23,7.94,25712181.86,211379970.81,670712214.83,0,0,1,0,1,3,AG3,score
03662,감성코퍼레이션,18.85,7.28,0.26,388.12,705088.6,140743417.35,13793198.8,1,1,1,1,1,0,AG2,
03663,세종텔레콤,4.64,27.12,10.69,22.93,1076602.17,167364825.01,98745814.57,0,1,0,1,1,2,AG2,
03664,HRS,16.62,0.25,0.03,3368.53,40592.21,129650168.54,396712,1,1,1,1,1,0,AG2,
03667,삼양케이씨아이,6.95,0.16,0.02,1703.46,425611.34,125173278.67,236981,1,1,1,1,1,0,AG2,
03669,코맥스,17.44,22.35,-2.83,-40.5,2057832.93,33013824.87,22289896.16,1,1,1,0,1,1,AG2,
03671,심텍홀딩스,6.99,45.6,6.55,2.37,41450713.44,375006515.24,762308043.59,1,1,1,0,1,1,AG2,
03680,나이스정보통신,7.36,1.55,0.23,361.85,5583881.78,452595458.1,19978839.84,1,1,1,1,1,0,AG2,
03681,에프에스티,11.32,42.43,10.3,3.42,2043593.42,264415571.36,234229671.02,1,1,0,0,1,2,AG2,
03683,솔브레인홀딩스,8.65,8.68,4.04,214.3,4471870.36,1998707439.44,235606241.84,1,1,1,1,1,0,AG2,
03689,진성티이씨,12.11,19.92,1.67,49.32,4067235.55,312219926.77,109105920.38,1,1,1,1,1,0,AG2,
03693,주성엔지니어링,-3.26,5.7,5,52.85,904916.92,586820876.75,49736298.87,0,1,1,1,1,1,AG2,
03703,파워넷,5.26,28.67,5.53,16.72,4817878.44,333769786.57,172307642.93,1,1,1,1,1,0,AG2,
03707,파세코,-8.73,5.35,1.01,74.2,217391.25,79531762.59,6053859.52,0,1,1,1,1,1,AG2,
03723,한국팩키지,4.56,30.59,4.8,15.2,670395.21,110578067.88,67715780.11,0,1,1,1,1,1,AG2,
03727,YG PLUS,9.85,1.2,0.2,536.55,282544.02,198835225.53,3640455.09,1,1,1,1,1,0,AG2,
03733,인지디스플레,5.36,35.5,4.11,21.51,4891754.22,216030376.88,177709241.34,1,1,1,1,1,0,AG2,
03735,성도이엔지,6.1,13.33,1.46,40.68,2375878.22,291047933.98,89566508.92,1,1,1,1,1,0,AG2,
03737,EG,2.58,72.4,32.98,-1.9,1669136.25,20890842.23,111044390.1,0,0,0,0,1,4,AG3,score
03740,우리엔터프라이즈,0.77,14.55,6.14,12.63,1418261.51,335120485.92,140434161.43,0,1,1,1,1,1,AG2,
03744,희림,5.1,15.72,2.19,42.02,623000.87,87975581.67,32807711.56,1,1,1,1,1,0,AG2,
03746,삼지전자,17.63,35.01,1.98,52.26,31568948.72,976952619.65,946760883.66,1,1,1,1,1,0,AG2,
03756,LG헬로비전,12.04,44.92,4.6,18.22,5124248.12,455678794.01,552387258.27,1,1,1,1,1,0,AG2,
03771,광주신세계,44.8,21.95,3.47,25.7,955898.93,860310411.4,279823170.93,1,1,1,1,1,0,AG2,
03776,쎄니트,1.1,47.7,19.77,1.37,1252994.55,96262860.51,107134161.75,0,1,0,0,1,3,AG3,score
03795,엘컴텍,8.32,3.99,0.61,161.05,41005.51,76135226.48,3601892,1,1,1,1,1,0,AG2,
03801,제일테크노스,8.1,2.39,0.39,233.88,300574.33,145269618.91,4170737.53,1,1,1,1,1,0,AG2,
03806,루멘스,4.76,0.7,-0.91,-30.04,73524.86,109671424.75,1062841,0,1,1,0,1,2,AG2,
03807,서린바이오,2.43,9.95,6.2,25.37,393498.26,85340413.46,11884712.39,0,1,1,1,1,1,AG2,
03811,에코플라스틱,4.58,47.53,8.31,9.99,15851123,365228461,850187059,0,1,1,0,1,2,AG2,
03829,마크로젠,-1.12,27.2,4.99,22.36,988832.99,167372483.13,100149946.04,0,1,1,1,1,1,AG2,
03839,레드캡투어,52.03,56.5,2.19,43.6,4421415.32,203882120.3,410735730.66,1,0,1,1,1,1,AG2,
03846,바이오스마트,8.01,24.39,2.27,27.37,843614.78,194897084.89,77670478.23,1,1,1,1,1,0,AG2,
03850,삼표시멘트,17.95,34.87,3.04,25.54,5748762.18,775773039.2,496772587.79,1,1,1,1,1,0,AG2,
03853,케이바이오랩스,-3.59,0.68,0.62,-187.52,243446.15,104465999.35,814399,0,1,1,0,1,2,AG2,
03854,상상인,13.88,10.81,-23.82,-16.56,509533.55,474127459.77,558474763.36,1,1,1,0,1,1,AG2,
03862,위즈코프,5.01,1.73,0.35,306.99,354428.11,101918958.2,2086573,1,1,1,1,1,0,AG2,
03868,에스넷,1.17,8.03,1.33,52.13,388365.96,115076751.94,19375567.04,0,1,1,1,1,1,AG2,
03887,에코심플렉스,-22.34,15.86,-15.5,-27.49,153383.46,73380956.54,16796083.92,0,1,1,0,1,2,AG2,
03888,아이에이,4.3,30.66,-15.2,-81.46,1702687.75,57549965.31,47121004.76,0,1,1,0,1,2,AG2,
03895,파인디지털,-8.39,0.85,-0.34,106.55,10522.43,95252942.05,889945,0,1,1,1,1,1,AG2,
03901,현대에이치티,-1.42,2.84,,,2531138.76,102565561.01,3882238,0,1,,,1,,AG3,재무정보 미제공
03902,이건홀딩스,7.94,32.7,14.26,2.7,3784982.18,361885899.63,246514230.67,1,1,0,0,1,2,AG2,
03903,이오테크닉스,27.13,0.88,0.07,992.53,3112585.69,706854969.35,7053705.29,1,1,1,1,1,0,AG2,
03913,하나투어,13.2,16.54,1.29,68.79,671311.36,158589981.17,110851672.91,1,1,1,1,1,0,AG2,
03920,오스코텍,-263.82,7.62,0.33,376.12,657894.38,182532099.56,16931352.33,0,1,1,1,1,1,AG2,
03924,경남스틸,2.05,5.65,1.13,48.21,132887.47,111986126.14,9602112.88,0,1,1,1,1,1,AG2,
03929,인포뱅크,-1.83,1.67,-0.65,-411.91,257590.38,67237588.23,1595074,0,1,1,0,1,2,AG2,
03931,세중,1.47,0.04,0.15,-2637.35,564973.99,99723579.06,55596.65,0,1,1,0,1,2,AG2,
03934,한국경제TV,6.35,5.39,2.68,78.95,96895.18,145786781.28,9175018.85,1,1,1,1,1,0,AG2,
03942,케이엘넷,25.49,2.61,0.16,906.75,22008.16,66926225.19,2000289.18,1,1,1,1,1,0,AG2,
03944,에스티아이,2.32,0.92,0.17,228.36,2089512.13,291151604.76,3311200.22,0,1,1,1,1,1,AG2,
03949,키움증권,6.77,22.83,11.71,7.91,,6980600912.25,21468804959,1,1,0,0,,,AG3,재무정보 미제공
03956,다산네트웍스,10.55,23.39,2.87,12.55,21745851.21,359800733.6,156256964.96,1,1,1,1,1,0,AG2,
03957,HDC랩스,5.98,11.69,2.26,47.13,537280.36,262801340.81,51613645.16,1,1,1,1,1,0,AG2,
03961,화성밸브,6.02,20.39,-140.29,-2.6,431675.55,94735002.81,26364508,1,1,1,0,1,1,AG2,
03974,한국정보공학,0.88,15.13,6.17,19.93,176074.15,53444653.09,18214629,0,1,1,1,1,1,AG2,
03983,오로라,17.68,59.47,5.8,10.36,5888730.06,184347216.82,356972744.03,1,0,1,1,1,1,AG2,
03984,디오,15.97,25.36,3.74,21.5,1466789.61,189267426.85,83178318.69,1,1,1,1,1,0,AG2,
03986,나노엔텍,10.88,1.82,0.38,575.63,49433.36,92039039.56,1829281.37,1,1,1,1,1,0,AG2,
03998,폴라리스AI,5.07,7.63,-2.63,-0.77,532823.11,95835665,8240554.91,1,1,1,0,1,1,AG2,
04016,누리플렉스,-17.23,21.93,-4.75,-10.18,389128.55,72759166.09,34492520.88,0,1,1,0,1,2,AG2,
04030,YTN,-22.12,0.22,-0.12,-1426.43,72445.1,224795983.93,721911.37,0,1,1,0,1,2,AG2,
04035,크레오에스지,-25.64,33.05,-6.28,-22.64,359714.65,46384278.5,29286221,0,1,1,0,1,2,AG2,
04042,정상제이엘에스,17.45,4.25,0.27,282.8,38018.09,78729381.73,4487840.08,1,1,1,1,1,0,AG2,
04061,SG&G,21.08,11.56,8.09,60.63,363964.56,428525325.25,59898516.32,1,1,1,1,1,0,AG2,
04091,아이씨디,-22.42,10.64,1.73,21.08,332891.67,94861132.24,18859063.32,0,1,1,1,1,1,AG2,
04102,폴라리스오피스,6.91,9.01,2.94,70.46,1689604.25,512652785.46,59003829.67,1,1,1,1,1,0,AG2,
04119,우리기술투자,83.88,0,,,,792605456.49,,1,1,,,,,AG3,재무정보 미제공
04144,현대에버다임,2.43,19.18,5.14,22.31,2403904.86,191982035.25,64415178.15,0,1,1,1,1,1,AG2,
04146,한국전자인증,25.38,0.56,0.06,1056.72,193637.81,65394329.87,509958.03,1,1,1,1,1,0,AG2,
04151,에스엠,20.01,4.7,0.37,189.77,3211670.8,1353863070.5,94417962.77,1,1,1,1,1,0,AG2,
04152,이엘씨,1.67,0.13,0.1,4439.47,3166.83,170711967.2,234586.65,0,1,1,1,1,1,AG2,
04159,플래스크,-27.36,2.14,-3.92,339.38,39269.93,41520370.27,1014848,0,1,1,1,1,1,AG2,
